POLICY_ID,POLICY_IS_RENEWED,POLICY_IS_RENEWED_PROBABILITY
10,0,0.7421518564224243
12,0,0.5309429168701172
13,0,0.5881969928741455
22,1,0.19656142592430115
37,0,0.7509616613388062
38,1,0.23883245885372162
41,1,0.1438162624835968
44,0,0.6880728006362915
45,0,0.5078177452087402
54,0,0.5926394462585449
62,1,0.41029447317123413
70,0,0.5283501744270325
71,1,0.35892194509506226
73,0,0.7007752060890198
80,1,0.4905548095703125
85,0,0.7556006908416748
87,0,0.538804292678833
94,1,0.29833099246025085
103,1,0.37206968665122986
108,0,0.5935633182525635
115,1,0.2989453077316284
116,1,0.403870552778244
118,0,0.6709654927253723
125,0,0.5848486423492432
132,0,0.7548736929893494
133,1,0.39221957325935364
134,0,0.6854695677757263
138,0,0.7349899411201477
139,0,0.5902581214904785
147,1,0.2560160756111145
150,1,0.2006458342075348
151,1,0.4446283280849457
153,0,0.6682165861129761
155,1,0.4001520276069641
159,0,0.5075379610061646
160,1,0.17030417919158936
161,1,0.39975419640541077
163,1,0.4416288137435913
164,1,0.44894036650657654
166,0,0.7071198225021362
168,0,0.7165915369987488
169,0,0.6800381541252136
172,0,0.5921952724456787
182,0,0.687273383140564
188,0,0.6728891730308533
189,1,0.4238119125366211
190,1,0.2871840000152588
193,0,0.5125278234481812
194,0,0.6697428822517395
196,1,0.26074376702308655
215,1,0.10398957133293152
218,0,0.668655514717102
228,0,0.6622834205627441
230,1,0.2671785354614258
236,0,0.5390591621398926
244,1,0.2520216703414917
253,0,0.7177742123603821
263,0,0.7321115732192993
265,0,0.7048605680465698
268,0,0.7066371440887451
273,0,0.5717334151268005
284,1,0.38345542550086975
286,1,0.35178449749946594
305,0,0.6900606751441956
307,1,0.25391361117362976
309,0,0.501693069934845
310,1,0.29874861240386963
313,0,0.6055500507354736
318,0,0.7091681361198425
323,0,0.6099656820297241
327,0,0.6882656216621399
329,0,0.6156587600708008
341,0,0.6453573107719421
344,1,0.40851476788520813
345,0,0.7567866444587708
354,1,0.10595118254423141
355,1,0.23925000429153442
357,0,0.7396396994590759
360,0,0.6453573107719421
365,1,0.4839824140071869
367,0,0.7400509715080261
369,0,0.5874614715576172
370,0,0.7534517645835876
383,0,0.7177292704582214
384,1,0.24309997260570526
388,0,0.6048336625099182
389,0,0.5119528770446777
394,1,0.34404268860816956
395,0,0.5803090929985046
416,0,0.7429391741752625
417,0,0.7402061223983765
442,0,0.5173689723014832
443,0,0.7031081318855286
444,1,0.41021615266799927
445,0,0.6503148078918457
448,0,0.5719617605209351
453,0,0.7305327653884888
454,0,0.5056250095367432
455,1,0.3902336359024048
458,1,0.47768986225128174
459,0,0.7189021110534668
460,0,0.5262740850448608
465,1,0.4432794153690338
466,0,0.5497727990150452
468,1,0.4118238389492035
494,0,0.6857520937919617
498,0,0.5211441516876221
499,0,0.6880881190299988
500,1,0.3847026526927948
506,1,0.4670589566230774
507,0,0.5727800130844116
510,0,0.7277330160140991
515,1,0.3583117723464966
516,1,0.19635145366191864
520,0,0.5507168173789978
522,1,0.4607357680797577
527,1,0.10398957133293152
528,0,0.6674948930740356
534,0,0.7001086473464966
538,0,0.5963565111160278
549,1,0.2177126556634903
553,1,0.2503959834575653
555,0,0.7066371440887451
561,1,0.46334144473075867
565,0,0.7520104646682739
578,0,0.605957567691803
579,0,0.4974963665008545
582,0,0.5703094601631165
584,1,0.17445550858974457
590,1,0.3529196083545685
594,0,0.7075901627540588
598,0,0.6636839509010315
611,0,0.7091421484947205
618,0,0.7260915637016296
620,0,0.7137773633003235
636,1,0.25206539034843445
654,0,0.6908678412437439
655,1,0.3769899308681488
661,1,0.3219497799873352
663,1,0.18341957032680511
672,0,0.6429105997085571
676,1,0.28241580724716187
686,0,0.6105005145072937
687,0,0.7332618832588196
700,1,0.1732550412416458
701,0,0.6858371496200562
703,1,0.1746167093515396
704,0,0.501693069934845
708,1,0.10398957133293152
709,1,0.3841492533683777
711,0,0.5875190496444702
734,0,0.5264714360237122
736,1,0.4439186155796051
738,0,0.5733802318572998
740,0,0.7439386248588562
743,0,0.6778817176818848
745,0,0.6697633862495422
767,0,0.7439970374107361
770,1,0.37208229303359985
774,0,0.5786030292510986
781,0,0.7336103320121765
782,1,0.2430165559053421
788,1,0.23651708662509918
800,0,0.7429391741752625
804,0,0.7469801902770996
809,0,0.6082209348678589
819,0,0.532946765422821
821,0,0.6728891730308533
827,1,0.25628888607025146
829,0,0.5274561643600464
837,0,0.673232913017273
838,0,0.5006396174430847
839,0,0.6629208326339722
846,1,0.19260188937187195
847,1,0.4884847104549408
851,0,0.6055405139923096
852,1,0.2835988402366638
874,1,0.33881208300590515
877,1,0.24802161753177643
878,1,0.084633968770504
880,0,0.5330641269683838
882,0,0.7476229071617126
887,0,0.6780142188072205
890,0,0.712749719619751
895,1,0.4530428946018219
904,1,0.3627339005470276
908,0,0.5871630311012268
909,0,0.7476229071617126
917,0,0.7559757828712463
920,0,0.6961107850074768
928,0,0.6793001890182495
931,0,0.6602593660354614
937,0,0.7296667098999023
938,0,0.6306717991828918
941,0,0.698660671710968
953,0,0.5572556853294373
961,0,0.7362390160560608
962,1,0.24480390548706055
974,1,0.17711764574050903
990,1,0.4131537675857544
1000,0,0.733539879322052
1002,0,0.560539722442627
1006,0,0.7489767670631409
1007,0,0.5733802318572998
1008,0,0.5426502823829651
1014,1,0.2503959834575653
1015,1,0.09124114364385605
1017,0,0.5358356237411499
1018,1,0.2610894739627838
1019,0,0.7539280652999878
1025,1,0.3879333436489105
1032,0,0.5733993649482727
1033,0,0.731904149055481
1037,1,0.27944284677505493
1039,0,0.5505591630935669
1046,0,0.614097535610199
1049,1,0.415971964597702
1050,1,0.41712912917137146
1054,1,0.08392617106437683
1066,0,0.498568058013916
1069,0,0.684355616569519
1071,1,0.14344915747642517
1075,0,0.7177742123603821
1081,0,0.7498965859413147
1084,1,0.34423574805259705
1087,0,0.6035718321800232
1103,0,0.5714643597602844
1120,0,0.5123890042304993
1121,0,0.5987836718559265
1122,0,0.7556006908416748
1129,1,0.4912169873714447
1130,0,0.6346414089202881
1137,1,0.14227046072483063
1138,0,0.6556736826896667
1147,0,0.5204015374183655
1154,1,0.2069692611694336
1158,0,0.7058117985725403
1159,0,0.5451949238777161
1160,0,0.5047337412834167
1164,1,0.2803591191768646
1167,0,0.6049737930297852
1170,0,0.6355957984924316
1173,0,0.556473433971405
1179,0,0.5641331672668457
1185,1,0.26703429222106934
1187,1,0.4003651440143585
1192,1,0.22952912747859955
1199,1,0.177707239985466
1206,0,0.5319003462791443
1208,1,0.4128585755825043
1214,0,0.5873623490333557
1219,0,0.7103588581085205
1235,0,0.7438827753067017
1237,0,0.726408064365387
1246,0,0.5327647924423218
1248,0,0.6872544288635254
1256,0,0.5779590606689453
1258,0,0.6622061133384705
1263,0,0.5888472199440002
1276,0,0.5381112098693848
1279,0,0.7556006908416748
1282,0,0.7421947121620178
1283,1,0.40269941091537476
1285,1,0.2453829050064087
1290,0,0.653037965297699
1301,0,0.5331276059150696
1303,0,0.7507316470146179
1305,1,0.2629895806312561
1306,1,0.15535889565944672
1307,1,0.26621174812316895
1314,0,0.6921283602714539
1320,0,0.5935633182525635
1322,0,0.7370558977127075
1331,0,0.7170722484588623
1339,0,0.7557822465896606
1357,0,0.7600335478782654
1364,0,0.7121800184249878
1370,1,0.18680691719055176
1372,1,0.33742162585258484
1374,0,0.7257488965988159
1381,1,0.3242364823818207
1385,0,0.5523216724395752
1389,0,0.6790916919708252
1408,1,0.45737501978874207
1419,1,0.4420677125453949
1420,0,0.7105801701545715
1422,1,0.4337589144706726
1424,0,0.7329225540161133
1425,1,0.2537619173526764
1436,1,0.1747351437807083
1441,0,0.5442110300064087
1446,0,0.6846292018890381
1447,0,0.7108545303344727
1448,0,0.6576114296913147
1451,0,0.6753488183021545
1454,1,0.22404545545578003
1458,0,0.7390557527542114
1460,0,0.5866601467132568
1462,0,0.699896514415741
1470,1,0.3332052230834961
1480,1,0.15435834228992462
1493,1,0.10499249398708344
1495,1,0.3059414029121399
1496,0,0.6916293501853943
1498,1,0.14177244901657104
1502,0,0.7179418802261353
1504,0,0.7215336561203003
1516,0,0.7438827753067017
1528,1,0.13945914804935455
1529,0,0.7078739404678345
1530,0,0.5558453798294067
1532,0,0.6081451177597046
1538,0,0.6671529412269592
1541,1,0.3209218978881836
1542,0,0.6142232418060303
1544,1,0.2494840770959854
1551,1,0.4828130304813385
1553,0,0.6900606751441956
1557,1,0.3876158893108368
1559,1,0.16946133971214294
1566,0,0.5220482349395752
1582,1,0.3624080419540405
1586,0,0.539409339427948
1588,1,0.37976908683776855
1590,1,0.3641458749771118
1600,0,0.5727797746658325
1612,0,0.6273438334465027
1617,1,0.45546144247055054
1622,1,0.27415117621421814
1625,0,0.6835654973983765
1628,1,0.208086296916008
1638,1,0.1658746898174286
1642,1,0.3460051417350769
1649,0,0.6041057705879211
1652,1,0.42822495102882385
1654,0,0.6775420308113098
1667,0,0.6127151846885681
1677,1,0.3463324010372162
1680,0,0.6082209348678589
1688,1,0.3488485813140869
1694,0,0.7241086363792419
1710,0,0.7494589686393738
1712,1,0.34149378538131714
1730,0,0.7285354733467102
1734,0,0.5737629532814026
1738,0,0.7397922277450562
1742,0,0.7242882251739502
1744,1,0.4137329161167145
1750,0,0.547791063785553
1760,0,0.560808002948761
1763,1,0.2430589497089386
